,Popularity,Release Date,Title,Vote Average,Vote Count,id
350,1.013498,2015-10-22,Game Therapy,4.6,56,364470
351,1.040482,2015-10-22,Io che amo solo te,5.2,56,363757
352,1.604964,2015-10-22,Jem and the Holograms,5.5,91,266639
353,1.961958,2015-10-22,Rock the Kasbah,5.2,81,253414
354,1.677308,2015-10-23,Scouts Guide to the Zombie Apocalypse,6.2,387,273477
355,1.98567,2015-10-23,Remember,7.4,113,302528
356,3.201548,2015-10-23,Bone Tomahawk,6.6,404,294963
357,8.095821,2015-10-26,Spectre,6.2,3767,206647
358,2.418926,2015-10-27,Trumbo,7.3,390,294016
359,1.907407,2015-10-29,400 Days,4.2,131,332502
360,1.508418,2015-10-30,Freaks of Nature,5.6,115,218784
361,1.271218,2015-10-30,Truman,6.8,70,341744
362,1.419838,2015-11-03,Riley's First Date?,7.3,163,355338
363,1.552311,2015-11-04,All Three of Us,7.8,103,364137
364,3.941409,2015-11-05,The Peanuts Movie,6.5,512,227973
365,1.585179,2015-11-06,The Hallow,5.2,163,312831
366,1.734107,2015-11-06,Kill Your Friends,5.8,90,318922
367,5.35945,2015-11-06,Spotlight,7.8,2048,314365
368,1.266913,2015-11-09,Ronaldo,6.4,93,361931
369,2.895576,2015-11-10,Victor Frankenstein,5.6,540,228066
370,3.376149,2015-11-12,Concussion,7.0,646,321741
371,1.874913,2015-11-12,Love the Coopers,5.3,137,333348
372,2.080723,2015-11-12,By the Sea,5.3,124,314385
373,2.430949,2015-11-13,The Lady in the Van,6.1,174,328589
374,2.094459,2015-11-13,Heist,5.5,279,336004
375,4.874883,2015-11-14,The Good Dinosaur,6.6,1342,105864
376,2.107066,2015-11-17,Into the Forest,5.4,104,334538
377,7.547423,2015-11-18,The Hunger Games: Mockingjay - Part 2,6.5,3005,131634
378,3.499577,2015-11-20,In the Heart of the Sea,6.4,1023,205775
379,1.23413,2015-11-20,Spanish Affair 2,5.5,96,348537
380,1.808962,2015-11-20,Criminal Activities,5.8,85,334527
381,1.509999,2015-11-20,The Night Before,6.1,453,296100
382,1.23413,2015-11-20,Spanish Affair 2,5.5,96,348537
383,1.568698,2015-11-22,The Lion Guard: Return of the Roar,6.0,52,359983
384,4.337516,2015-11-25,Creed,7.3,1527,312221
385,1.474714,2015-11-25,Sanjay's Super Team,6.8,60,345637
386,3.043215,2015-11-26,Krampus,6.0,476,287903
387,2.173435,2015-11-26,A Bigger Splash,5.8,111,324807
388,4.151756,2015-11-27,The Danish Girl,7.3,1158,306819
389,3.4626,2015-11-27,"Hello, My Name Is Doris",6.5,114,320588
390,1.298765,2015-12-02,Tomorrow,8.0,70,371492
391,1.85623,2015-12-02,Babysitting 2,6.5,245,331836
392,3.115181,2015-12-03,Point Break,5.4,631,257088
393,2.312236,2015-12-03,Land of Mine,7.8,154,335578
394,1.401966,2015-12-04,A Very Murray Christmas,5.3,128,364067
395,1.02758,2015-12-09,Uncompleted Song,7.2,123,366564
396,1.470817,2015-12-11,Close Range,4.9,50,325173
397,4.938693,2015-12-11,The Big Short,7.3,2041,318846
398,1.861912,2015-12-11,The Ridiculous 6,4.9,312,347969
399,1.242238,2015-12-14,Childhood's End,6.6,55,373977
400,11.465879,2015-12-15,Star Wars: The Force Awakens,7.5,6348,140607
401,1.36305,2015-12-16,The Sense of Wonder,6.8,72,369770
402,3.586707,2015-12-17,Alvin and the Chipmunks: The Road Chip,5.7,338,258509
403,2.86979,2015-12-18,Mojin: The Lost Legend,6.0,59,299824
404,3.293614,2015-12-18,Extraction,4.2,76,326425
405,1.84117,2015-12-18,Sisters,5.9,488,266294
406,1.256682,2015-12-18,Dilwale,6.5,54,370665
407,3.477785,2015-12-19,Ip Man 3,6.3,303,365222
408,1.749089,2015-12-23,Where to Invade Next,7.2,120,352208
409,1.225281,2015-12-23,The New Kid,5.9,52,358430
410,2.706284,2015-12-24,Joy,6.4,1249,274479
411,1.322836,2015-12-25,Palm Trees in the Snow,7.1,77,274109
412,4.161726,2015-12-25,Daddy's Home,5.7,684,274167
413,7.781257,2015-12-25,The Revenant,7.3,5014,281957
414,7.067254,2015-12-25,The Hateful Eight,7.5,3162,273248
415,1.956017,2015-12-25,A Man Called Ove,7.2,126,348678
416,1.456198,2015-12-26,And Then There Were None,7.8,53,371758
417,2.148478,2015-12-30,Anomalisa,6.9,366,291270
418,1.370002,2015-12-31,Baskin,5.9,59,334394
